model,seed,regime,condition,phase,cumulative_target_tokens,alignment_accuracy,alignment_margin_mean,alignment_margin_median,chosen_mean_logp,rejected_mean_logp,alignment_pairs,shift_nll,shift_perplexity,shift_eval_tokens,l2_drift,relative_l2_drift,control_alignment_loss_pre,phase_train_loss,phase_target_tokens_actual,raw_first_order_alignment_change,constructed_first_order_alignment_change,post_first_order_alignment_change,raw_update_alignment_descent_cosine,post_update_alignment_descent_cosine,raw_update_norm,post_update_norm,retained_update_norm_ratio,intervention_norm,coordinate_killed_fraction,positive_coordinate_risk_fraction,positive_coordinate_risk_sum,global_projection_activated,bf16_quantization_bound,constraint_tolerance,alignment_accuracy_change,alignment_margin_mean_change,shift_nll_improvement,phase_alignment_accuracy_change,phase_alignment_margin_change
Qwen3-14B,42,benign,coordinate_mortality,6,4915200,0.5853234529495239,0.2133846580982208,0.1756868362426757,-3.715648412704468,-3.929032564163208,2303,2.4186933869240903,11.23117492354919,577662,6.678194046020508,0.2271312475204467,0.6745158571004868,2.394082516513881,819200.0,0.0202736780047416,-0.0301765277981758,-0.0301765277981758,-0.0638677701354026,0.1364714205265045,1.451936960220337,1.0114035606384275,0.6965891718864441,1.0417214632034302,0.5077083706855774,0.5077083706855774,0.0504502058029174,0.0,0.0021795115899294,0.0021804652642458,0.08814588189125061,0.2313275597989558,0.1799161586314204,0.02561873197555542,0.0966857895255089
Qwen3-14B,42,benign,global_projection,6,4915200,0.4893617033958435,-0.0208179019391536,-0.0167710781097412,-2.1479012966156006,-2.127083301544189,2303,2.3924803879420407,10.940597241275205,577662,7.658729553222656,0.260480135679245,0.7655366004630924,2.376441820563341,819200.0,0.0006587777170352,-1.4551915228366852e-11,0.0,-0.0037613336462527,0.0,1.158945083618164,1.158936858177185,0.9999929070472716,0.0043591796420514,0.0,0.5013617873191833,0.0218385905027389,1.0,0.0014114612713456,0.001412414945662,-0.00781586766242981,-0.0028750002384186,0.20612915761347006,-0.004342138767242376,-0.0020547416061162983
Qwen3-14B,42,benign,unconstrained,6,4915200,0.4889274835586548,-0.0214969031512737,-0.0159474611282348,-2.148451328277588,-2.1269543170928955,2303,2.392445270713156,10.940213044563746,577662,7.658804893493652,0.2604826986789703,0.7655366004630924,2.376441820563341,819200.0,0.0006587777170352,0.0006587777170352,0.0006587777170352,-0.0037613336462527,-0.0037613336462527,1.158945083618164,1.158945083618164,1.0,0.0,0.0,0.5013617873191833,0.0218385905027389,0.0,0.0014113452052697,0.0014122988795861,-0.00825008749961853,-0.003554001450538701,0.2061642748423549,-0.004776358604431097,-0.0027337428182363996
Qwen3-14B,42,conflict,coordinate_mortality,6,4915200,0.5184541940689087,0.0240569841116666,0.0268480777740478,-1.8775634765625,-1.9016205072402956,2303,1.9345783199003077,6.9211249393005625,109575,10.865625381469728,0.3695494532585144,0.6860616430453956,1.9046968883297812,819200.0,-0.094480387866497,-0.2202316969633102,-0.2202316969633102,0.0429381802678108,0.1350110471248626,2.411834239959717,1.7879688739776611,0.7413315773010254,1.6186758279800415,0.4608841836452484,0.4608841836452484,0.1257513165473938,0.0,0.0059362994506955,0.0059378550961355,0.021276623010635376,0.0419998858124016,0.33600150684284413,-0.05210590362548828,-0.20234421081841
Qwen3-14B,42,conflict,global_projection,6,4915200,0.4954407215118408,-0.0202023349702358,-0.0050822496414184,-1.870756983757019,-1.8505544662475584,2303,1.8746670325433936,6.518648261205405,109575,12.687417984008787,0.4315102398395538,0.7609272641688585,1.8605414264425053,819200.0,-0.0001903531374409,-0.0001903531374409,-0.0001903531374409,0.0001732209348119,0.0001732209348119,1.9026548862457275,1.9026548862457275,1.0,0.0,0.0,0.5000852346420288,0.0817310884594917,0.0,0.0049414476379752,0.0049424956342818,-0.0017368495464324951,-0.002259433269500802,0.3959127941997582,-0.0030395090579986572,-0.00036163814365870045
Qwen3-14B,42,conflict,unconstrained,6,4915200,0.4954407215118408,-0.0200065672397613,-0.0044537782669067,-1.870684504508972,-1.850677847862244,2303,1.874634158504137,6.518433970428886,109575,12.687673568725586,0.4315189123153686,0.7608906850963831,1.86055505296652,819200.0,-0.0006711387541145,-0.0006711387541145,-0.0006711387541145,0.0006125357467681,0.0006125357467681,1.8990247249603271,1.8990247249603271,1.0,0.0,0.0,0.4996302127838135,0.0813811421394348,0.0,0.0049292193725705,0.0049302642876227,-0.0017368495464324951,-0.002063665539026302,0.3959456682390148,-0.0017368495464324951,0.0001447610557079003
Qwen3-14B,43,benign,coordinate_mortality,6,4915200,0.5835866332054138,0.190551295876503,0.1553454399108886,-3.3490679264068604,-3.539619207382202,2303,2.4187179183948078,11.231450444167391,577662,6.781032085418701,0.2307134270668029,0.6782753596082329,2.4132480176465467,819200.0,0.0191149488091468,-0.0275033712387084,-0.0275033712387084,-0.0632085651159286,0.1302157491445541,1.488902568817139,1.039899826049805,0.6984337568283081,1.0655698776245115,0.507282018661499,0.507282018661499,0.0466183237731456,0.0,0.001993955578655,0.0019949092529714,0.08944857120513922,0.2102917153388261,0.18163189841659122,0.029526710510253906,0.08359341323375709
Qwen3-14B,43,benign,global_projection,6,4915200,0.4924012124538421,-0.0223613642156124,-0.0112383365631103,-2.1500158309936523,-2.1276543140411377,2303,2.3927737926831023,10.9438077353399,577662,7.750948429107666,0.2637132108211517,0.7687719802558423,2.3953642162278994,819200.0,0.0005761611973866,1.4551915228366852e-11,2.5465851649641987e-11,-0.00289122085087,-1.2779011182573186e-10,1.169173240661621,1.1691683530807495,0.9999958276748656,0.0033803381957113,0.0,0.5022324919700623,0.0240502338856458,1.0,0.0015626074746251,0.0015635611489415,-0.0017368495464324951,-0.0026209447532893025,0.20757602412829668,0.0026053190231323242,-0.0007976051419973998
Qwen3-14B,43,benign,unconstrained,6,4915200,0.4897958934307098,-0.023254370316863,-0.0128164291381835,-2.15167498588562,-2.12842059135437,2303,2.392709290434301,10.94310185789611,577662,7.745371341705322,0.2635234594345093,0.768928613550961,2.3954033582500416,819200.0,0.000557507679332,0.000557507679332,0.000557507679332,-0.0027817205991595,-0.0027817205991595,1.1683720350265503,1.1683720350265503,1.0,0.0,0.0,0.5019147992134094,0.0241625756025314,0.0,0.0015712101012468,0.0015721637755632,-0.004342168569564819,-0.0035139508545399024,0.20764052637709796,-0.0026053190231323242,-0.0015245676040648998
Qwen3-14B,43,conflict,coordinate_mortality,6,4915200,0.5271384716033936,0.0428279489278793,0.0386595726013183,-1.8893171548843384,-1.9321452379226685,2303,1.975134701094561,7.207590458758698,109575,11.030624389648438,0.3752987682819366,0.6773790743201971,1.890448377636785,819200.0,0.017311256378889,-0.0565556921064853,-0.0565556921064853,-0.0260706860572099,0.1254106611013412,2.329047679901123,1.581772804260254,0.6791500449180603,1.709519863128662,0.522261381149292,0.522261381149292,0.0738669484853744,0.0,0.002276612445712,0.0022775661200284,0.03300040960311895,0.0625683683902024,0.29320716072864106,-0.03082937002182007,-0.1018238514661789
